CustomerID,Name,Address,ContactInfo,CountryID,CustomerType
1,엄예진,"대구광역시 송파구 언주421거리 872, South Korea",053-113-7793,22,B2C
2,Stephen Holmes,"USNS Rhodes, FPO AP 47426, UAE",9.7155E+11,13,B2C
3,Antony Potter,"560 Burton Island, Edwardsshire, TW7R 6LY, UK",(020) 7496 0695,4,B2C
4,Karl-Hermann Weitzel,"Rena-Ebert-Platz 581, 71444 Heinsberg, Germany",+49(0)7880 59858,5,B2C
5,Luisa de Solsona,"Urbanización Eric Portillo 18 Puerta 5 , Santa Cruz de Tenerife, 08627, Spain",+34 978055156,8,B2C
6,Juan Luis Gómez Navarro,"Cañada Joaquín Rozas 552, Lugo, 08843, Spain",+34 943591498,8,B2C
7,กันตวรรณ สุวรรณหงษ์,"023 ถนนนักสำหรวจ ต.หนองแสง อ.คอนสาร ชัยนาท 78290, Thailand",+66 (0) 4935 1835,25,B2C
8,Joseph Vasquez,"321 Charles Road Apt. 800, Port Mark, ID 86999, USA",001-753-575-0043x97151,1,B2C
9,Wendy Wilkins,"4711 C Mayon Street, Lupao, 2850 Bataan, Philippines",,28,B2C
10,施雅慧,"67113 新營市大坪街106號2樓, Taiwan",(08) 50924042,30,B2C
11,Jonas Vermeulen-Ellis,"Pippaweg 8, 1956JG, Norg, Netherlands",071-1629317,9,B2C
12,Elizabeth Edwards,"60147 Mahoney Haven, Port Donna, VA 92417, USA",001-737-818-9201x82766,1,B2C
13,Kimberly Gill,"PSC 3527, Box 9270, APO AA 84737, Egypt",001-246-821-4728x0346,14,B2B
14,Dr Luke Miller,"9 Miller Forge, North Victor, PA1H 4XE, UK",1164960801,4,B2B
15,Sanya Seshadri,"22, Rajagopalan Street, Malegaon-325327, India",776711978,20,B2C
16,Panini Singh,"H.No. 944, Dugal Nagar, Jalna-645208, India",4948286806,20,B2B
17,Dott. Donatello Gianvecchio,"Contrada Venier, 0 Appartamento 18, 86097, Chiauci (IS), Italy",+39 08621209419,7,B2C
18,Tara Brown,"USCGC Gordon, FPO AA 76689, USA",(738)301-6807,1,B2C
19,周丹,"江苏省郑州市黄浦宜都街i座 259540, China",18564069340,19,B2C
20,Bachittar Bhardwaj,"46/18, Kunda Nagar, Udaipur 944925, India",3719299009,20,B2C
21,Jann Stroh,"Guteweg 4316, 50190 Coburg, Germany",+49 (0) 7460 190058,5,B2C
22,허지현,"제주특별자치도 양구군 테헤란가 689-3 (우진류장읍), South Korea",055-219-1058,22,B2C
23,Denise Hamilton,"3806 Jones Locks Suite 095, Julieshire, MO 63701, Egypt",001-229-499-6281x538,14,B2B
